Date,Actual,Basic_nn,Complex_nn,xgb,rf,Baseline
86144,10288.48,10043.475,9933.404,10194.518,9628.892011424125,10186.69
86145,10120.55,9925.136,9853.733,9896.077,9628.892011424125,10181.457
86146,9782.41,9791.968,9748.04,9766.907,9628.892011424125,10105.943
86147,9533.65,9571.192,9556.662,9550.154,9628.892011424125,9930.543
86148,9305.94,9495.885,9435.595,9613.614,9627.771394176809,9895.729
86149,9190.81,9285.564,9311.092,9442.92,9626.3906137276,9749.411
86150,9279.69,9153.094,9261.776,9380.351,9627.896958750209,9655.161
86151,9226.3,9038.801,9274.365,9451.045,9619.28103381364,9538.969
86152,9068.28,8923.796,9240.158,8932.852,9538.519465725629,9333.115
86153,8717.32,8826.501,9121.349,8623.005,9354.15545647691,9100.514
86154,8689.82,8666.74,8929.629,8663.919,9053.436646938017,8867.717
86155,8425.41,8448.846,8824.541,8512.568,8978.378207654867,8785.684
86156,8369.89,8304.196,8641.294,8439.358,8828.18764463684,8754.662
86157,8204.88,8240.108,8510.686,8239.566,8645.322990839839,8881.848
86158,7994.47,8189.3574,8320.6,7963.334,8448.145952285291,8799.2705
86159,7808.65,8137.57,8057.443,7893.4487,8357.195733255787,8676.151
86160,7601.44,7905.8477,7808.6836,7644.0605,8098.819616118666,8086.649
86161,7381.64,7579.514,7596.168,7342.2344,7931.980079419412,7727.4155
86162,7094.18,7333.5127,7409.387,6886.9,7868.098653998558,7289.9985
86163,6793.53,7002.454,7137.704,6879.957,7863.841738615265,7116.85
86164,6584.69,6807.185,6901.38,6718.9463,7863.125067091379,6990.5747
86165,6484.64,6697.4497,6719.685,6467.447,7863.125067091379,6648.4326
86166,6456.63,6699.4414,6632.821,6639.62,7863.402785567704,6729.4473
86167,6540.66,6726.7773,6679.9907,6588.7104,7863.402785567704,6707.894
86168,6784.86,6883.2095,6898.2183,6807.965,7863.885020092687,6862.965
86169,7082.17,7262.691,7396.416,7133.1865,7872.621272951873,7394.249
86170,7678.85,7589.7246,7657.422,7774.244,7872.621272951873,7708.8345
86171,8235.04,8379.166,8130.077,8163.6606,7902.645615676097,8241.386
86172,8735.18,8895.64,8683.282,8774.652,7909.427844228324,8872.601
86173,9205.43,9255.239,9163.301,9033.282,8191.53994148526,9303.053
86174,9483.84,9427.718,9560.568,9533.084,8486.52102313261,9711.199
86175,9691.329999999998,9616.024,9761.559,9669.123,8815.13514864375,9935.078
86176,10008.14,9865.427,9861.512,9775.569,9095.741097672268,10076.831
86177,10180.54,10199.106,9989.059,10361.703,9341.733834519477,10162.803
86178,10334.9,10230.68,10102.759,10362.043,9497.718939114831,10188.115
86179,10428.26,10304.1,10210.712,10393.817,9556.434421115177,10318.207
86180,10492.29,10384.103,10278.968,10374.956,9602.294595443267,10390.636
86181,10588.92,10442.616,10354.9375,10476.326,9634.63574390505,10375.705
86182,10632.959999999995,10563.877,10444.787,10483.942,9647.95585096466,10499.94
86183,10612.06,10638.672,10469.117,10406.429,9655.986143620024,10515.156
86184,10675.83,10666.053,10480.228,10575.488,9658.540553544242,10504.65
86185,10736.76,10704.301,10485.1455,10580.397,9659.543827099624,10507.526
86186,10790.53,10713.237,10455.982,10797.866,9659.543827099624,10425.67
86187,10839.44,10698.448,10423.305,10808.372,9659.543827099624,10414.032
86188,10848.92,10688.337,10376.001,10860.212,9659.543827099624,10431.838
86189,10931.830000000002,10660.508,10303.895,10826.907,9659.543827099624,10423.723
86190,11031.76,10614.691,10232.521,10714.61,9659.543827099624,10408.4
86191,11047.46,10528.934,10176.238,10715.238,9659.543827099624,10387.515
86192,10932.42,10433.802,10152.011,10779.331,9659.543827099624,10429.182
86193,10775.83,10322.84,10099.473,10290.245,9659.543827099624,10423.438
86194,10378.18,10209.156,10016.178,10469.21,9659.543827099624,10405.211
86195,10139.37,9983.802,9861.61,9858.268,9659.543827099624,10290.905
86196,9882.06,9812.595,9732.587,9734.287,9633.30382268195,10215.772
86197,9718.94,9613.707,9618.658,9660.9375,9618.883470612982,10037.302
86198,9758.42,9443.657,9548.022,9649.307,9615.72670187622,9952.602
86199,9728.4,9249.7295,9503.82,9602.382,9628.954202281817,9841.227
86200,9455.02,9113.678,9427.906,9224.524,9483.294008994622,9609.37
86201,9113.64,8941.776,9306.591,9606.657,9198.48331126151,9318.6455
86202,9034.31,8762.584,9094.831,8931.955,9079.765229445253,9062.481
86203,8736.05,8560.267,8986.981,8671.811,9050.788730719243,9017.212
86204,8580.3,8352.388,8828.478,8633.329,8848.787988037435,8947.19
86205,8316.19,8308.586,8713.276,8246.362,8710.362158222504,9088.112
86206,8048.46,8269.988,8520.313,8259.478,8516.165597460456,9056.741
86207,7851.48,8204.167,8268.154,7765.6577,8397.412837974545,8985.398
86208,7690.51,8042.0312,8006.706,7549.4155,8146.918860124183,8252.873
86209,7506.92,7704.037,7771.772,7533.058,7966.10347453388,7895.788
86210,7194.91,7466.7476,7544.4106,6988.733,7898.26448880065,7495.8354
86211,6880.82,7123.064,7289.8105,6902.0547,7894.493554290764,7354.27
86212,6697.45,6899.665,7004.37,6808.576,7893.776882766879,7165.236
86213,6590.59,6775.2817,6789.4253,6674.2163,7893.776882766879,6780.3584
86214,6611.04,6771.3765,6681.2524,6698.8447,7893.776882766879,6826.9443
86215,6667.32,6804.6606,6700.1406,6614.5547,7893.776882766879,6812.8047
86216,6994.37,6982.0874,6879.256,6917.8276,7894.259117291861,6999.0063
86217,7313.09,7409.9365,7371.128,7344.085,7902.995370151044,7525.9795
86218,7882.93,7747.421,7612.7373,7936.7544,7927.116974260139,7818.7085
86219,8454.02,8576.827,8109.4346,8619.827,7933.425324418193,8360.632
86220,8989.95,8937.303,8677.37,8848.941,7939.416531877475,8925.803
86221,9480.06,9402.397,9182.348,9938.221,8169.136227881803,9336.643
86222,9754.4,9566.9795,9616.993,9765.145,8522.267528029533,9752.317
86223,9945.64,9728.365,9905.685,9882.63,8849.685430065301,10003.284
86224,10205.44,10014.599,10088.813,9873.926,9103.351815106853,10152.831
86225,10561.68,10430.871,10235.528,10452.168,9320.705759194543,10239.572
86226,10735.26,10461.784,10331.029,10743.598,9491.709938182208,10225.322
86227,10858.15,10515.67,10444.555,10735.848,9568.288326129728,10284.279
86228,10972.1,10559.773,10523.049,10719.074,9609.321168651964,10341.74
86229,11077.14,10623.378,10585.847,10648.21,9632.683909290636,10413.3955
86230,11138.77,10772.854,10670.529,10596.473,9647.957419726414,10611.45
86231,11105.14,10913.452,10718.369,10550.978,9655.732647737974,10778.5
86232,11229.09,10985.4,10730.941,10884.658,9658.593108589725,10799.66
86233,11354.06,11039.617,10743.355,11120.601,9662.123002405162,10890.953
86234,11342.74,11108.77,10724.975,11161.853,9668.114449470391,10865.575
86235,11301.260000000002,11148.542,10749.516,11163.171,9681.93363257532,10848.576
86236,11240.85,11128.494,10744.166,11141.542,9687.35501538853,10880.458
86237,11358.58,11089.408,10647.803,11103.174,9686.658413358831,10880.657
86238,11354.11,11102.667,10580.525,11192.622,9683.720933334002,10915.466
86239,11337.73,11104.365,10543.528,11252.707,9675.89319729431,10903.454
86240,11077.0,11056.699,10513.147,10801.702,9681.711822280486,10870.634
86241,10948.37,10960.773,10500.027,10936.723,9679.259184752622,10830.763
86242,10644.45,10804.036,10475.196,10582.173,9666.847783188676,10840.535
86243,10397.09,10536.021,10328.078,10647.617,9657.780300065777,10731.694
86244,10175.02,10303.86,10191.419,10028.565,9653.169257079366,10691.202
86245,10005.1,9989.746,10048.171,9954.543,9650.446420923903,10526.372
86246,10062.6,9705.091,9963.653,9788.471,9648.330967200529,10414.499
86247,9950.54,9485.851,9907.289,9795.876,9651.665629077666,10253.436
86248,9583.81,9334.767,9804.431,9668.621,9611.21434160438,10016.383
86249,9215.56,9086.12,9599.045,9495.931,9554.804728195955,9699.461
86250,9072.67,8870.946,9307.843,9057.964,9301.317259768864,9391.827
86251,8819.119999999999,8693.081,9126.149,8947.704,9105.171197650336,9246.778
86252,8642.37,8417.756,8917.379,8916.171,9070.821626077071,9144.8955
86253,8404.12,8307.874,8757.253,8608.175,8952.807582534055,9261.921
86254,8150.69,8226.944,8528.4,8147.2397,8534.917205367472,9116.932
86255,7885.41,8138.4062,8247.897,7882.3022,8394.330883911869,8910.447
86256,7664.28,7932.145,7957.3228,7981.1284,8132.571420620631,8102.986
86257,7440.68,7644.118,7729.819,7545.6836,7962.842965701757,7697.594
86258,7107.9800000000005,7441.6226,7552.123,7158.4536,7898.750469674057,7453.1724
86259,6876.49,7039.049,7318.7905,6912.3594,7894.493554290764,7290.6484
86260,6682.530000000001,6793.2607,7055.2935,6905.3345,7893.776882766879,7106.402
86261,6607.52,6782.346,6861.7964,6640.3096,7893.776882766879,6757.3677
86262,6631.62,6730.5493,6755.173,6611.1123,7893.776882766879,6803.546
86263,6694.8,6717.982,6801.2974,6754.5176,7893.776882766879,6783.0127
86264,6931.47,6943.132,6993.0664,6946.038,7894.259117291861,6956.1987
86265,7230.92,7362.7104,7472.012,7319.7236,7900.35015095896,7506.1875
86266,7782.65,7690.2407,7700.13,7954.0127,7898.290127781249,7826.848
86267,8384.73,8413.386,8138.74,8595.6045,7918.872802281819,8288.1875
86268,8785.7,8892.025,8650.174,8835.645,7976.427257567452,8755.439
86269,9295.35,9262.051,9049.881,9231.973,8018.020686028479,9128.67
86270,9540.97,9382.31,9406.949,9464.805,8417.167490970784,9591.962
86271,9715.03,9553.378,9641.004,9680.858,8813.335140611778,9893.236
86272,9909.28,9794.791,9825.049,10074.6455,8995.51047402774,10086.325
86273,10038.93,10169.399,10011.529,10360.32,9291.045677218988,10213.807
86274,10118.85,10169.596,10154.422,10490.998,9446.227036691576,10192.612
86275,9867.44,10195.576,10225.255,10492.73,9497.081441005048,10183.13
86276,9968.02,10233.056,10240.15,10398.695,9540.675729861608,10151.9
86277,10288.14,10266.644,10250.47,10467.361,9589.618988151158,10105.687
86278,10332.53,10353.014,10294.821,10494.056,9617.71876029191,10268.936
86279,10314.62,10412.212,10307.613,10488.596,9626.447099839328,10520.752
86280,10365.4,10431.315,10296.0205,10447.856,9628.963450855716,10524.925
86281,10391.8,10498.396,10317.265,10414.084,9629.449431729125,10566.138
86282,10378.99,10557.742,10336.296,10430.416,9629.16972990045,10500.163
86283,10404.25,10569.961,10392.0,10334.861,9629.16972990045,10404.521
86284,10357.03,10535.439,10446.162,10516.511,9629.519752158065,10439.431
86285,10454.88,10400.658,10393.38,10558.345,9625.191772131822,10468.3955
86286,10463.79,10352.927,10328.8545,10508.808,9624.044435027276,10493.775
86287,10407.06,10249.332,10224.66,10318.195,9627.502510911278,10358.541
86288,10267.94,9994.237,10109.077,10317.207,9629.16972990045,10325.213
86289,10102.7,9732.077,9932.149,10047.762,9629.16972990045,10202.005
86290,9729.57,9598.138,9745.818,9688.13,9629.16972990045,10027.086
86291,9550.78,9416.16,9522.32,9529.523,9628.797226284569,9783.438
86292,9345.59,9297.327,9327.652,9666.99,9622.473896158968,9585.806
86293,9231.96,9147.476,9183.172,9692.35,9617.1551606835,9395.265
86294,9241.71,9053.3955,9115.619,9432.224,9616.150729617024,9260.682
86295,9302.13,8937.164,9116.449,9015.755,9501.13195734384,9112.9375
86296,9111.91,8802.787,9098.877,8723.486,9433.885844714729,8953.304
86297,8834.139999999998,8711.301,9002.942,8577.812,9236.71468968833,8710.351
86298,8776.39,8569.002,8874.862,8571.456,9058.50175714617,8564.944
86299,8604.26,8446.036,8804.73,8695.933,9039.553631486882,8516.317
86300,8438.0,8308.906,8702.224,8478.624,9039.26924575163,8496.747
86301,8267.3,8272.953,8588.464,8197.534,8945.406489081706,8650.727
86302,7948.22,8185.872,8404.369,8071.533,8543.875533301718,8519.215
86303,7708.56,8051.0015,8143.139,7909.445,8338.384141607461,8255.565
86304,7473.72,7837.0806,8023.054,7486.1245,8090.381960728883,7533.007
86305,7213.36,7522.423,7810.4536,7267.762,7929.503846991163,7518.6143
86306,6893.25,7195.833,7539.26,7063.882,7866.768509322175,7206.0073
86307,6629.62,6868.2046,7203.293,6658.323,7862.997574812291,7033.417
86308,6442.55,6695.5215,6877.52,6553.315,7862.280903288404,6413.356
86309,6346.8,6600.361,6642.6733,6473.9023,7862.280903288404,6607.809
86310,6324.64,6500.2485,6491.5625,6361.4673,7862.280903288404,6346.2056
86311,6325.32,6435.1997,6462.312,6449.47,7862.280903288404,6250.841
86312,6422.41,6469.0903,6535.419,6510.2104,7862.763137813386,6782.805
86313,6432.17,6621.9204,6751.611,6507.48,7871.499390672571,6767.3003
86314,6642.0,6682.799,6873.315,6867.3115,7871.499390672571,6840.6396
86315,6960.28,6899.965,7122.917,7115.255,7901.244031568121,7032.088
86316,7320.87,7247.059,7459.5034,7396.202,7920.808727292749,7305.4287
86317,7700.4,7712.596,7753.841,7642.463,8002.019138828376,7664.228
86318,8026.47,8073.231,8039.2905,8016.7314,8083.843257965703,8139.746
86319,8340.17,8251.704,8275.157,8465.077,8176.474706105103,8571.033
86320,8599.07,8393.738,8448.35,8532.855,8335.62812110476,8866.142
86321,8607.47,8577.774,8608.58,8863.854,8780.266169905124,9021.665
86322,8766.32,8732.803,8679.695,8850.92,9147.83215197801,9009.298
86323,8726.94,8718.565,8729.66,8951.559,9266.127725335458,8952.271
86324,8725.8,8680.067,8676.869,8958.8545,9309.787958970686,8872.75
86325,8739.91,8669.575,8669.612,8893.76,9433.12217336628,8789.346
86326,8730.05,8669.22,8753.988,8906.854,9476.038816452538,8835.196
86327,8676.62,8656.781,8827.247,8965.307,9473.049667640253,8899.775
86328,8706.94,8629.736,8871.176,8798.471,9469.224468733362,8985.889
86329,8673.62,8631.666,8872.13,8766.362,9400.82098552442,9003.895
86330,8689.01,8646.286,8846.275,8795.537,9350.10962097286,8992.449
86331,8722.71,8651.461,8802.807,8763.171,9292.682524464984,9043.025
86332,8758.53,8618.776,8757.113,8853.349,9274.541857109432,9029.248
86333,8800.54,8537.968,8716.078,8842.6875,9275.90049820551,9039.14
86334,8825.8,8493.168,8658.603,9030.095,9253.871087753916,9080.737
86335,8841.9,8489.911,8612.165,8876.067,9187.896481171578,9009.8955
86336,8718.52,8497.671,8560.9,8786.936,9182.54713779096,8918.512
86337,8692.14,8485.27,8474.896,8612.998,9032.897023825784,8865.66
86338,8643.35,8487.836,8413.65,8447.119,8979.349563058931,8844.5
86339,8510.24,8450.588,8322.205,8386.261,8968.188550909917,8759.565
