Date,Actual,Basic_nn
2009-07-04,10145.36,8935.723
2009-07-04,10360.76,9802.747
2009-07-04,10230.91,10224.8125
2009-07-04,10095.96,10339.421
2009-07-04,9826.74,10377.695
2009-07-04,9635.64,10338.188
2009-07-04,9343.71,10253.449
2009-07-04,9062.34,10033.869
2009-07-04,8889.41,9793.93
2009-07-04,8733.91,9591.358
2009-07-04,8634.87,9467.381
2009-07-04,8557.58,9289.97
2009-07-04,8546.03,9166.048
2009-07-04,8708.02,9033.154
2009-07-04,8903.14,8960.581
2009-07-04,9193.58,8980.4375
2009-07-04,9803.81,9021.617
2009-07-04,10541.15,9145.404
2009-07-04,11196.5,9386.388
2009-07-04,11221.94,10008.385
2009-07-04,11003.8,10856.359
2009-07-04,10741.87,11367.886
2009-07-04,10491.82,11461.673
2009-07-04,10318.54,11388.637
2009-07-04,10147.81,11203.082
2009-07-04,9896.89,11019.257
2009-07-04,9655.24,10916.018
2009-07-04,9637.27,10772.9795
2009-07-04,9452.39,10491.868
2009-07-04,9241.81,10283.065
2009-07-05,8969.22,10278.426
2009-07-05,8611.6,9917.083
2009-07-05,8307.78,9695.905
2009-07-05,8042.56,9457.89
2009-07-05,7706.74,9093.145
2009-07-05,7358.94,8774.12
2009-07-05,7071.36,8475.548
2009-07-05,6903.24,8051.83
2009-07-05,6773.38,7538.9556
2009-07-05,6734.55,7126.8315
2009-07-05,6705.59,6891.544
2009-07-05,6765.36,6768.7583
2009-07-05,6901.89,6687.1387
2009-07-05,7151.6,6713.9795
2009-07-05,7404.73,6787.914
2009-07-05,7751.2,6917.009
2009-07-05,8396.6,7221.3306
2009-07-05,8967.61,7518.7925
2009-07-05,9343.46,7951.5176
2009-07-05,9579.34,8695.036
2009-07-05,9594.16,9388.481
2009-07-05,9542.34,9814.549
2009-07-05,9361.28,10016.013
2009-07-05,9195.81,10011.327
2009-07-05,9053.07,9914.379
2009-07-05,8935.26,9652.126
2009-07-05,8765.44,9383.549
2009-07-05,8638.82,9094.181
2009-07-05,8508.21,8839.3545
2009-07-05,8417.14,8647.33
2009-07-05,8371.48,8518.476
2009-07-05,8460.37,8426.334
2009-07-05,8619.28,8370.936
2009-07-05,8966.95,8358.561
2009-07-05,9585.3,8534.776
2009-07-05,10359.25,8705.065
2009-07-05,11141.49,8999.14
2009-07-05,11287.43,9669.213
2009-07-05,11267.14,10561.221
2009-07-05,11120.45,11161.293
2009-07-05,10989.75,11241.395
2009-07-05,10896.22,11172.999
2009-07-05,10723.38,11089.163
2009-07-05,10429.27,11016.132
2009-07-05,10036.43,10900.518
2009-07-05,9778.35,10739.977
2009-07-05,9456.66,10492.851
2009-07-05,9213.96,10322.481
2009-07-06,8870.58,10267.664
2009-07-06,8606.44,10014.034
2009-07-06,8352.38,9298.292
2009-07-06,8246.83,8778.51
2009-07-06,8058.65,8540.848
2009-07-06,7738.2,8309.983
2009-07-06,7510.96,8141.2983
2009-07-06,7354.56,7891.9907
2009-07-06,7236.7,7569.686
2009-07-06,7237.36,7298.9907
2009-07-06,7366.06,7139.637
2009-07-06,7707.28,7056.2783
2009-07-06,8242.79,7072.425
2009-07-06,9215.0,7209.097
2009-07-06,10126.69,7472.3926
2009-07-06,10698.51,8046.0386
2009-07-06,11381.37,9228.841
2009-07-06,11658.26,10239.273
2009-07-06,11594.39,10877.723
2009-07-06,11641.09,11395.467
2009-07-06,11500.62,11585.078
2009-07-06,11354.52,11606.285
2009-07-06,11110.55,11602.012
2009-07-06,10908.19,11492.212
2009-07-06,10784.84,11301.555
2009-07-06,10676.1,11050.073
2009-07-06,10500.03,10814.087
2009-07-06,10402.46,10604.697
2009-07-06,10300.35,10368.376
2009-07-06,10223.7,10124.639
2009-07-06,10196.41,10020.77
2009-07-06,10261.35,9946.057
2009-07-06,10472.08,9885.944
2009-07-06,10887.97,9864.498
2009-07-06,11471.39,9993.706
2009-07-06,12257.45,10278.964
2009-07-06,12824.79,10719.215
2009-07-06,12812.94,11311.828
2009-07-06,12663.9,11959.881
2009-07-06,12349.02,12319.635
2009-07-06,12062.15,12397.368
2009-07-06,12029.25,12392.8125
2009-07-06,11719.05,12325.6875
2009-07-06,11298.03,12239.857
2009-07-06,10748.92,12133.938
2009-07-06,10700.48,11954.26
2009-07-06,10179.68,11677.297
2009-07-06,9879.13,11377.76
2009-07-07,9669.61,11145.195
2009-07-07,9411.77,10631.939
2009-07-07,9176.07,9971.095
2009-07-07,8992.95,9166.052
2009-07-07,8737.48,9006.609
2009-07-07,8297.21,8852.92
2009-07-07,7931.73,8768.536
2009-07-07,7640.0,8467.215
2009-07-07,7474.01,8037.4136
2009-07-07,7409.47,7707.989
2009-07-07,7508.13,7461.6797
2009-07-07,7815.7,7315.635
2009-07-07,8343.19,7290.2896
2009-07-07,9293.34,7419.6724
2009-07-07,10177.53,7770.3555
2009-07-07,10749.7,8430.001
2009-07-07,11426.47,9710.833
2009-07-07,11634.97,10626.2
2009-07-07,11517.92,11199.34
2009-07-07,11518.63,11714.919
2009-07-07,11355.26,11835.275
2009-07-07,11233.51,11762.402
2009-07-07,11089.66,11719.738
2009-07-07,10953.85,11595.094
2009-07-07,10791.5,11389.908
2009-07-07,10730.59,11169.804
2009-07-07,10663.21,11070.792
2009-07-07,10683.37,10991.805
2009-07-07,10552.22,10890.8
2009-07-07,10549.57,10777.438
2009-07-07,10473.94,10672.225
2009-07-07,10432.66,10579.081
2009-07-07,10650.21,10530.026
2009-07-07,10926.35,10563.573
2009-07-07,11399.37,10780.835
2009-07-07,12080.39,11082.781
2009-07-07,12759.06,11429.571
2009-07-07,12803.02,11920.659
2009-07-07,12722.76,12402.177
2009-07-07,12408.48,12604.285
2009-07-07,12134.0,12610.897
2009-07-07,11978.89,12558.602
2009-07-07,11706.09,12477.112
2009-07-07,11326.39,12386.867
2009-07-07,10836.35,12245.816
2009-07-07,10762.12,12000.111
2009-07-07,10359.42,11754.616
2009-07-07,9986.54,11497.04
2009-07-08,9742.01,11352.974
2009-07-08,9467.27,10918.899
2009-07-08,9223.26,10226.145
2009-07-08,9049.11,9381.187
2009-07-08,8775.96,9192.079
2009-07-08,8326.06,9045.861
